"No.","Time","Source","Destination","Protocol","Length","Info"
"1213","2023-03-09 22:10:43.281560648","192.168.1.100","192.168.1.101","TCP","60","87  >  28799 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
"1214","2023-03-09 22:10:43.312685822","192.168.1.101","192.168.1.100","TCP","54","22855  >  88 [FIN] Seq=1 Win=8192 Len=0"
"1215","2023-03-09 22:10:43.313733446","192.168.1.100","192.168.1.101","TCP","60","88  >  22855 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
"1216","2023-03-09 22:10:43.344245847","192.168.1.101","192.168.1.100","TCP","54","13530  >  89 [FIN] Seq=1 Win=8192 Len=0"
"1217","2023-03-09 22:10:43.345749280","192.168.1.100","192.168.1.101","TCP","60","89  >  13530 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
"1218","2023-03-09 22:10:43.385584175","192.168.1.101","192.168.1.100","TCP","54","50597  >  90 [FIN] Seq=1 Win=8192 Len=0"
"1219","2023-03-09 22:10:43.387725938","192.168.1.100","192.168.1.101","TCP","60","90  >  50597 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
"1220","2023-03-09 22:10:43.436707090","192.168.1.101","192.168.1.100","TCP","54","10838  >  91 [FIN] Seq=1 Win=8192 Len=0"
"1221","2023-03-09 22:10:43.438753907","192.168.1.100","192.168.1.101","TCP","60","91  >  10838 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
"1222","2023-03-09 22:10:43.480580923","192.168.1.101","192.168.1.100","TCP","54","42595  >  92 [FIN] Seq=1 Win=8192 Len=0"
"1223","2023-03-09 22:10:43.481560407","192.168.1.100","192.168.1.101","TCP","60","92  >  42595 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
"1224","2023-03-09 22:10:43.516582074","192.168.1.101","192.168.1.100","TCP","54","44237  >  93 [FIN] Seq=1 Win=8192 Len=0"
"1225","2023-03-09 22:10:43.518465319","192.168.1.100","192.168.1.101","TCP","60","93  >  44237 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
"1226","2023-03-09 22:10:43.556319953","192.168.1.101","192.168.1.100","TCP","54","1278  >  94 [FIN] Seq=1 Win=8192 Len=0"
"1227","2023-03-09 22:10:43.557782921","192.168.1.100","192.168.1.101","TCP","60","94  >  1278 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
"1228","2023-03-09 22:10:43.589193063","192.168.1.101","192.168.1.100","TCP","54","11212  >  95 [FIN] Seq=1 Win=8192 Len=0"
"1229","2023-03-09 22:10:43.590791104","192.168.1.100","192.168.1.101","TCP","60","95  >  11212 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
